"","ID","Rel.Compact","Surface.Area","Wall.Area","Roof.Area","Height","Orientation","Glazing.Area","Glazing.Distr","Outcome"
"9",9,0.98,514.5,294,110.25,7,4,0,0,15.50621338
"16",16,0.98,514.5,294,110.25,7,4,0.4,3,32.4432145
"21",21,0.86,588,294,147,7,5,0.25,1,28.80663064
"27",27,0.71,710.5,269.5,220.5,3.5,5,0,0,6.505406554
"44",44,0.9,563.5,318.5,122.5,7,4,0.25,2,32.41334726
"55",55,0.79,637,343,147,7,3,0.4,4,41.71784807
"57",57,0.69,735,294,220.5,3.5,4,0.25,4,12.7900361
"60",60,0.79,637,343,147,7,4,0.25,1,39.86448753
"63",63,0.74,686,245,220.5,3.5,5,0.25,2,12.31335911
"64",64,0.64,784,343,220.5,3.5,3,0.4,4,19.02517917
"71",71,0.69,735,294,220.5,3.5,3,0.1,4,11.24606209
"75",75,0.82,612.5,318.5,147,7,2,0.25,2,25.84617024
"82",82,0.9,563.5,318.5,122.5,7,4,0.4,4,35.38834342
"89",89,0.64,784,343,220.5,3.5,4,0.4,1,19.4617929
"99",99,0.62,808.5,367.5,220.5,3.5,2,0.1,2,12.97824452
"102",102,0.79,637,343,147,7,5,0.4,4,42.96766523
"107",107,0.62,808.5,367.5,220.5,3.5,3,0.25,5,14.09324028
"115",115,0.66,759.5,318.5,220.5,3.5,2,0.4,3,15.27036378
"118",118,0.69,735,294,220.5,3.5,2,0.4,3,14.44181272
"121",121,0.62,808.5,367.5,220.5,3.5,3,0,0,8.246372583
"126",126,0.86,588,294,147,7,2,0.1,4,26.42019965
"133",133,0.9,563.5,318.5,122.5,7,2,0.4,3,34.22991049
"139",139,0.71,710.5,269.5,220.5,3.5,3,0,0,6.464933625
"141",141,0.69,735,294,220.5,3.5,4,0.25,1,12.84963323
"144",144,0.76,661.5,416.5,122.5,7,3,0.4,3,39.76686941
"148",148,0.64,784,343,220.5,3.5,2,0.1,4,15.41532624
"149",149,0.66,759.5,318.5,220.5,3.5,4,0.25,3,12.84343505
"161",161,0.9,563.5,318.5,122.5,7,3,0.1,1,29.92971248
"162",162,0.74,686,245,220.5,3.5,3,0.25,5,11.72916659
"176",176,0.79,637,343,147,7,3,0.1,1,37.17034371
"179",179,0.76,661.5,416.5,122.5,7,3,0.4,4,40.39899701
"181",181,0.98,514.5,294,110.25,7,3,0.4,2,32.63404235
"184",184,0.82,612.5,318.5,147,7,5,0.25,2,24.91798111
"191",191,0.66,759.5,318.5,220.5,3.5,3,0.4,4,15.14896015
"192",192,0.82,612.5,318.5,147,7,5,0.4,5,29.93437908
"194",194,0.71,710.5,269.5,220.5,3.5,2,0.4,1,14.55463129
"198",198,0.71,710.5,269.5,220.5,3.5,5,0.25,4,12.26302527
"200",200,0.79,637,343,147,7,3,0.1,2,37.37303973
"204",204,0.76,661.5,416.5,122.5,7,5,0.4,4,40.16506562
"207",207,0.98,514.5,294,110.25,7,2,0.25,4,28.74027573
"211",211,0.98,514.5,294,110.25,7,5,0.1,1,24.49828745
"213",213,0.86,588,294,147,7,3,0.4,1,32.33533654
"216",216,0.98,514.5,294,110.25,7,2,0.4,2,32.78094629
"221",221,0.98,514.5,294,110.25,7,2,0,0,15.55008185
"223",223,0.69,735,294,220.5,3.5,2,0.25,4,12.85742768
"226",226,0.9,563.5,318.5,122.5,7,5,0.25,3,32.2862155
"230",230,0.82,612.5,318.5,147,7,5,0.25,5,25.4920649
"233",233,0.9,563.5,318.5,122.5,7,5,0.25,5,32.58858207
"236",236,0.62,808.5,367.5,220.5,3.5,4,0.1,5,12.83931924
"237",237,0.98,514.5,294,110.25,7,4,0.4,1,32.38728265
"246",246,0.69,735,294,220.5,3.5,4,0.1,5,11.20046899
"248",248,0.76,661.5,416.5,122.5,7,4,0.25,1,36.95336074
"252",252,0.82,612.5,318.5,147,7,2,0.25,4,25.66546455
"256",256,0.79,637,343,147,7,4,0.1,2,36.94546723
"261",261,0.71,710.5,269.5,220.5,3.5,5,0.1,4,10.81548952
"263",263,0.62,808.5,367.5,220.5,3.5,5,0.25,1,15.23164842
"265",265,0.62,808.5,367.5,220.5,3.5,3,0.4,2,17.32086014
"267",267,0.76,661.5,416.5,122.5,7,4,0.25,5,35.95829271
"270",270,0.79,637,343,147,7,2,0.25,5,39.96346901
"274",274,0.69,735,294,220.5,3.5,4,0.4,5,14.42337968
"275",275,0.76,661.5,416.5,122.5,7,2,0.4,5,38.60198416
"278",278,0.86,588,294,147,7,4,0.25,5,28.44527481
"287",287,0.86,588,294,147,7,4,0.4,3,32.04446718
"289",289,0.66,759.5,318.5,220.5,3.5,4,0.25,5,12.81745351
"299",299,0.79,637,343,147,7,3,0.25,2,40.30257189
"306",306,0.98,514.5,294,110.25,7,3,0.1,2,24.23830976
"309",309,0.74,686,245,220.5,3.5,5,0.1,4,10.11895911
"319",319,0.86,588,294,147,7,2,0.25,1,29.51985534
"326",326,0.62,808.5,367.5,220.5,3.5,4,0.4,3,16.4178966
"330",330,0.82,612.5,318.5,147,7,4,0.4,2,28.74889609
"342",342,0.82,612.5,318.5,147,7,3,0.25,5,25.07114056
"350",350,0.69,735,294,220.5,3.5,3,0.25,3,12.44712292
"352",352,0.62,808.5,367.5,220.5,3.5,4,0.4,1,17.14356927
"357",357,0.64,784,343,220.5,3.5,2,0.25,5,16.81447305
"363",363,0.64,784,343,220.5,3.5,4,0.4,2,18.84206909
"364",364,0.64,784,343,220.5,3.5,3,0.25,2,16.88062344
"369",369,0.76,661.5,416.5,122.5,7,4,0.25,2,36.89553467
"372",372,0.86,588,294,147,7,5,0.25,2,28.36878881
"374",374,0.76,661.5,416.5,122.5,7,4,0.4,4,40.5081639
"379",379,0.74,686,245,220.5,3.5,4,0.4,2,14.13747649
"394",394,0.76,661.5,416.5,122.5,7,5,0.1,5,33.35219679
"395",395,0.71,710.5,269.5,220.5,3.5,2,0.1,3,10.71112026
"398",398,0.71,710.5,269.5,220.5,3.5,3,0.25,2,12.24275679
"405",405,0.71,710.5,269.5,220.5,3.5,4,0.25,5,12.35176024
"415",415,0.9,563.5,318.5,122.5,7,4,0.25,5,31.52543436
"422",422,0.66,759.5,318.5,220.5,3.5,3,0.1,5,11.42872302
"424",424,0.69,735,294,220.5,3.5,5,0.4,5,14.22694942
"428",428,0.76,661.5,416.5,122.5,7,3,0.1,1,32.29934009
"431",431,0.76,661.5,416.5,122.5,7,4,0.1,2,33.20595852
"441",441,0.69,735,294,220.5,3.5,3,0.4,1,14.92842467
"442",442,0.82,612.5,318.5,147,7,3,0.4,5,29.31366886
"443",443,0.86,588,294,147,7,4,0.1,5,25.29178923
"445",445,0.79,637,343,147,7,3,0.4,1,42.62934035
"446",446,0.66,759.5,318.5,220.5,3.5,5,0.1,1,11.77444324
"452",452,0.82,612.5,318.5,147,7,5,0.25,1,26.21259075
"457",457,0.9,563.5,318.5,122.5,7,3,0.25,4,31.74257876
"461",461,0.79,637,343,147,7,3,0.25,5,39.82101698
"465",465,0.69,735,294,220.5,3.5,3,0.1,3,11.27327357
"470",470,0.86,588,294,147,7,5,0,0,18.23784628
"472",472,0.62,808.5,367.5,220.5,3.5,4,0.4,4,17.01244216
"481",481,0.62,808.5,367.5,220.5,3.5,2,0.4,5,16.71560313
"490",490,0.74,686,245,220.5,3.5,4,0.25,2,12.24779847
"497",497,0.86,588,294,147,7,4,0.25,1,29.48748
"499",499,0.62,808.5,367.5,220.5,3.5,4,0.25,4,14.62252681
"501",501,0.74,686,245,220.5,3.5,3,0.25,2,12.36419079
"507",507,0.71,710.5,269.5,220.5,3.5,3,0.1,5,10.62872895
"510",510,0.69,735,294,220.5,3.5,2,0,0,6.851366057
"512",512,0.69,735,294,220.5,3.5,2,0.4,4,14.4544172
"524",524,0.66,759.5,318.5,220.5,3.5,2,0.1,5,11.42382288
"526",526,0.64,784,343,220.5,3.5,2,0.4,3,18.42465787
"527",527,0.98,514.5,294,110.25,7,3,0.4,1,32.22351671
"530",530,0.62,808.5,367.5,220.5,3.5,3,0.1,3,12.79151675
"559",559,0.74,686,245,220.5,3.5,5,0.4,4,14.59350805
"568",568,0.64,784,343,220.5,3.5,5,0.1,5,15.37233464
"575",575,0.9,563.5,318.5,122.5,7,2,0.1,4,29.1859348
"583",583,0.74,686,245,220.5,3.5,3,0.4,1,14.52655741
"586",586,0.71,710.5,269.5,220.5,3.5,5,0.25,1,12.78410426
"589",589,0.64,784,343,220.5,3.5,2,0.4,5,17.64530237
"598",598,0.62,808.5,367.5,220.5,3.5,2,0.25,1,15.28566431
"601",601,0.86,588,294,147,7,2,0.25,5,29.54027455
"603",603,0.71,710.5,269.5,220.5,3.5,3,0.4,2,14.5480469
"604",604,0.82,612.5,318.5,147,7,5,0.4,1,28.61579958
"607",607,0.64,784,343,220.5,3.5,5,0.4,3,18.56880412
"626",626,0.66,759.5,318.5,220.5,3.5,5,0.4,1,15.20950776
"627",627,0.71,710.5,269.5,220.5,3.5,4,0.4,2,14.44183467
"630",630,0.76,661.5,416.5,122.5,7,3,0.25,4,36.42685941
"631",631,0.9,563.5,318.5,122.5,7,5,0.4,4,36.4799996
"632",632,0.66,759.5,318.5,220.5,3.5,3,0.25,1,13.16005715
"635",635,0.66,759.5,318.5,220.5,3.5,3,0.4,1,15.35013975
"643",643,0.76,661.5,416.5,122.5,7,2,0.1,4,33.09736736
